method	path	controller	authentication	tenant_scope_evidence	authorization_evidence	mapping_conditions	deprecated	version	owner	usage	eol
DELETE	/api/account/connections/native/{provider}/pairing	ooo.klae.connex.backend.controllers.NativeConnectController#cancelPairing	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	NativeConnectService#cancelPairing:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/account/connections/{provider}	ooo.klae.connex.backend.controllers.ProviderConnectionController#disconnect	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ProviderConnectionService#disconnect:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/account/connections/{provider}/captured-data	ooo.klae.connex.backend.controllers.ProviderCaptureController#purge	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ProviderCaptureErasureService#eraseCurrent:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/account/connections/{provider}/retained-data	ooo.klae.connex.backend.controllers.ProviderConnectionController#eraseAllCapturedDataAndReset	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ProviderConnectionService#eraseAllCapturedDataAndReset:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/activities/{id}	ooo.klae.connex.backend.controllers.ActivityController#deleteActivity	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ActivityService#delete:ACTIVITY_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/assistant/sessions/{id:\d+}	ooo.klae.connex.backend.controllers.AiAssistantController#archive	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiAssistantService#archive:AI_USE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/assistant/sessions/{id:\d+}/leave	ooo.klae.connex.backend.controllers.AiAssistantController#leave	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiAssistantService#leave:AI_USE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/assistant/sessions/{id:\d+}/participants/{userId:\d+}	ooo.klae.connex.backend.controllers.AiAssistantController#removeParticipant	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiAssistantService#removeParticipant:AI_SESSION_SHARE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/assistant/sessions/{id:\d+}/presence	ooo.klae.connex.backend.controllers.AiAssistantController#leavePresence	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiAssistantService#leavePresence:AI_USE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/assistant/sessions/{sessionId:\d+}/attachments/{attachmentId:\d+}	ooo.klae.connex.backend.controllers.AiAssistantController#deleteAttachment	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiChatAttachmentService#delete:AI_USE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/assistant/watches/{id}	ooo.klae.connex.backend.controllers.AiAssistantProactiveController#deleteWatch	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiWatchService#delete:AI_USE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/ai/provider	ooo.klae.connex.backend.controllers.AiProviderConfigController#revoke	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AiProviderConfigService#revoke:domain authorization; AuthService#getCurrentUser:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/api-credentials/{id:\d+}	ooo.klae.connex.backend.controllers.ApiCredentialController#revoke	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	API_CREDENTIAL_MANAGE; ApiCredentialService#revoke:API_CREDENTIAL_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
